date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:51:44	34151/34151	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:19%20GMT	http://www.productinfo.schneider-electric.com//portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/nocontext/Master+Bookmap+Content/17701_MAIN+(bookmap)_0000056628.xml	J:/$projects/DigestExt/DigestPlus/web/17701_main+(bookmap)_0000056628.html	(from )
08:51:44	34097/34097	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:19%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a2447fa	J:/$projects/DigestExt/DigestPlus/web/561d5f9ae4b0c5c41a2447fa.html	(from )
08:51:44	19629/19629	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:19%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a2447fd	J:/$projects/DigestExt/DigestPlus/web/561d5f9ae4b0c5c41a2447fd.html	(from )
08:51:44	19683/19683	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:41%20GMT	http://www.productinfo.schneider-electric.com//portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/nocontext/Master+Bookmap+Content/17702_MAIN+(bookmap)_0000048841.xml	J:/$projects/DigestExt/DigestPlus/web/17702_main+(bookmap)_0000048841.html	(from )
08:51:45	30652/30652	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:42%20GMT	http://www.productinfo.schneider-electric.com//portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/nocontext/Master+Bookmap+Content/17703_MAIN+(bookmap)_0000060130.xml	J:/$projects/DigestExt/DigestPlus/web/17703_main+(bookmap)_0000060130.html	(from )
08:51:45	30598/30598	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:42%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244800	J:/$projects/DigestExt/DigestPlus/web/561d5f9ae4b0c5c41a244800.html	(from )
08:51:45	28330/28330	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:42%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a244803	J:/$projects/DigestExt/DigestPlus/web/561d5f9ae4b0c5c41a244803.html	(from )
08:51:45	28384/28384	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:20%20GMT	http://www.productinfo.schneider-electric.com//portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/nocontext/Master+Bookmap+Content/17704_MAIN+(bookmap)_0000041932.xml	J:/$projects/DigestExt/DigestPlus/web/17704_main+(bookmap)_0000041932.html	(from )
08:51:45	18220/18220	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:42%20GMT	http://www.productinfo.schneider-electric.com//portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/nocontext/Master+Bookmap+Content/17705_MAIN+(bookmap)_0000054913.xml	J:/$projects/DigestExt/DigestPlus/web/17705_main+(bookmap)_0000054913.html	(from )
08:51:45	49278/49278	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:51:20%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24480c	J:/$projects/DigestExt/DigestPlus/web/561d5f9ae4b0c5c41a24480c.html	(from )
